Name,Review,Date
Mitchell Fischer,"OK pizza, nothing more. The crust was crispy but it barely had any sauce on it|Useful|Share",12-Dec-21
Sophia Moody,Food was cold because it was late Mozzarella sticks were burnt the delivery driver was weird|Useful|Share,12-Dec-21
Yesennia Ivette,"Customer service is awful, placed an order and they told me it was never placed when they charged my credit card and send me a confirmation number. Had to go and pick up when I ordered for delivery. Last time for me I won’t buy no more from here!!!!|Useful|Share",Updated 25 Dec 2021
Jules,Yet again Pizza Hut in Kingsley Northampton…. Seriously why do I put myself through it…. Delay…delay now still waiting for it one hour later and still could be another 20 mins…. Said it was in the oven most of the time and said it’s on its way 30 mins ago! So it will either be burnt or cold …. Whatever you do don’t order from here unless you are not hungry for at least 2 hours….|Useful|Share,10-Dec-21
VINCENT,I ordered a family pizza two weeks ago.  I had just moved in my new home and wasted £10 on credit due to no WiFi waiting in line on the phone a number of times to ask where my delivery was.  My kids went hungry after a no show but you took my money just like that.  £22 stolen by you from me. My account is now deleted cos I’m so disgusted with you.  You cancelled my call 3 times while I waited in the long que and got 0 customer care.  Disgraceful behaviour for a well known company.  My first EVER complaint I have had to make online.  Well done|Useful|Share,8-Dec-21
Julie,Ordered Pizza from our local store Starbeck and we used the online option as the store was busy.  The pizza was due to be delivered at 6.55pm.  It arrived at 8pm.  Cold.  Phoned store and was told it was left on the side waiting for the delivery driver.  It left the Hut cold.  The delivery driver said he had just picked it up.  I asked for the pizza to be collected and a full refund.  I was told to contact customer service.  All they offered was £10 off my next order.  This didn’t even cover half my bill.  So Pizza Hut do not care about their customers or offer a fair service at all.  Explained everything and that were not interested 😩|Useful|Share,8-Dec-21
Joy Rodriguez,"I ordered a pizza on Friday night on 12/10/21 and received an old pizza with added bell peppers, jalapeños and mushrooms that were equally dried out. The pizza was cold and we only live 8 minutes away. This was the 2509 S. Georgia location in Amarillo, Tx|Useful|Share",7-Dec-21
Russ Aubury,Pizza was ordered at 19:15 tonight still on the phone trying to get the pizza delivered at 20:48 to be told order lost and they are saying refund can’t be offered by them it needs to go through Head office. Shocking service and wouldn’t recommend|Useful|Share,Updated 6 Dec 2021
Claire Forbes,Love their all-day buffet! Missed it since lockdown!|Useful|Share,4-Dec-21
Ernest A,Order was quick and the delivery driver was very kind thanks Sanjoe he even gave us free drink|Useful|Share,4-Dec-21
Review,I ordered a pizza which said it should take 25 mins to come. Ended up taking 1 hrs and 25 mins to arrive. The driver was not polite when he handed me the pizza. But to make it worse.... the pizza was over cooked (burned crust) qnd cold.|Useful|Share,4-Dec-21
Sara Beatty,What ever u changed about ur crust was a bad decision.  I was a loyal customer for yrs and moved to dominos.  I have to drive to get pizza from there as they don't deliver to my address. Their pizza started going down the drain so I switched back to pizza hut.  I was back!  They stepped up their game and made their crust good again by including garlic butter to crust.  As of recently they got rid of that and their crust turned into tasteless card board again.  Either get back on ur game or lose a customer to dominos again.  GROSSED MOST BLAND PIZZA AGAIN!  SO DISAPPOINTED!|Useful|Share,4-Dec-21
Richard Tarvin,Tried calling my local Pizza Hut only to instead get answered by some lady I could barely understand in a corporate call center located at God only knows where. Answered with the normal corporate bs and ended the call with corporate disclosure bs. Seems so impersonal anymore it’s ridiculous. What happened to actually talking to a person at the local store in a small town that you might actually know vs a damn corporate call centers that just adds you to a statistic? Order showed up and it’s wrong. Trying to get through to local store to get it fixed and getting hung up on. Now I actually have to go to the store to get it fixed. Probably not ordering pizza hut again|Useful|Share,4-Dec-21
Steve Sokolowski,"In 2021, all you can really ask for at restaurants is to actually get what you paid for.  The bar for customer service has fallen so low that I stopped visiting half the restaurants I used to visit because they don't get my orders correct.Pizza Hut had one incorrect order over the entire past year, and when I reported that, someone called me and I was given a credit immediately.The food at Pizza Hut isn't as good as that at Papa John's, but I don't order from Papa John's anymore because of the incorrect orders.  Pizza Hut's pizza is good enough, and I know that when I place an order there, I'll get what I asked for.|Useful|Share",1-Dec-21
Josh Allen,"Best takeaway pizza around, always delivered quickly and hot, go large and go home deal is immense value, no reason to call anywhere else.|Useful|Share",Updated 28 Nov 2021
Ron,"First I order three pizzas, and don't bring one so I have to pay for one of them again because the third pizza ""isn't in the system,"" but is on the order summary on my device... When I get the missing pizza a second time they bring it and half the pizza is folded on itself. If you need pizza never get it from 35503 21st Ave SwFederal Way, WA 98023.I'd rather scrape my eyes out than spend 85 bucks on bs service and scams.|Useful|Share",28-Nov-21
Philip Hedge,We have often ordered Pizza Hut delivery from their app. It is always delivered on time and tastes good.My issue is that the seal they put on the box is always broken when delivered. I have complained and even returned the pizza but still the seal is broken.If they go to the trouble of attaching a seal then it should not be opened before delivery. When the seal is broken it is hard to enjoy the pizza because your mind keeps thinking why the seal was broken and what may have been done to the pizza.|Useful|Share,26-Nov-21
Mary,I ordered 2 large pizza and family size mix & match pasta. The order came but in the family size pasta the marinara was missing and the alfredo TASTED SPOILED. Order# 3211205163630001413032260Called the the Richmond Pizza hut (2035 FM 359 RD #1). I spoke to the pizza personnel and that he is going to refund me. I was put on hold for almost 20 minutes and when he was back he couldn't hear me and hanged up. I called again somebody will picked up but  hanged up again. Called 4X.This is action is so RUDE.NO ONE DESERVES THIS TREATMENT.|Useful|Share,26-Nov-21
Linda Tarver,We ordered a pizza at 3:25 to not get the pizza until 5:46 call manager said he cannot give a discount I would not order from there again|Useful|Share,Updated 24 Nov 2021
Tom,I really like the pizza I had. How could you go wrong with pizza? It's inconceivable|Useful|Share,22-Nov-21
ashley sohanta,Driver brang the wrong order i asked for a refund and he was extremely rude and drove off with my food i rang pizza hut they wernt helpful and i never got my refund paid £26 for nothing. Don't make this mistake and just order from dominoes|Useful|Share,20-Nov-21
Mr Swift,"Dont get a half and half pizza from here, I got one yesterday and it cost £26 for one pizza, disgusting.|Useful|Share",20-Nov-21
amanda flynn,Ordered a pizza for delivery 30 mins late and stone cold contacted customer services and they are just as useless will never order from Pizza Hut again|Useful|Share,19-Nov-21
Jeffrey Watts,I understand that cutting cost helps a company but your call center is a mistake. When I call I want to talk to someone at the store I'm ordering from not the call center trying to transfer me 10 ti.es that's not professional and I will be reexamining who I buy pizza from. You need to seriously think about your business decisions.|Useful|Share,19-Nov-21
Natasha Wallace,Pizza was 💩 we ordered playdo the tomato based sauce was runny like dog💩t the cheese tasted plastic and looked like Kim Kardashian we all did a covid test cause of Ur 💩ty pizza one sauce between five pizzas and five bits a tiny as coochie looking chicken not happy 🖕 u pizza hut#dominos for the win plus they have yummy cookies from Natasha 😊WOULD NEVER GO THEUR AGAIN MY DOG LEFT THE PIZZA BY THE TOILET FOR GOD SAKE EVEN THEY DON'T THINK ITS EDIBLE|Useful|Share,Updated 18 Nov 2021
Joanne Sweeney,Order by app pay by app where the service. Then it says something you have a meal and the best part of it is the fries. The place is called pizza hut so do something about your overpriced pizza and improve the quality.|Useful|Share,13-Nov-21
Roe Schandel,The food was cold and undercook. The devery person took 30 min to get to my house. It is a 5 min ride|Useful|Share,Updated 13 Nov 2021
Georgia-Lia O'Neal,"Wow... just like to say what appalling customer service... Not only have I paid and waited for food, to be called when delivery was expected and then told you can't fulfill my order as you don't deliver to me, because of an error on your website, leaving me with no money too order more food for my at the time starving family. I have then had to chase you to raise a complaint to get my money refunded too me, as the shop had told me they hadn't taken the money, I have then had to wait a week to get you to agree to refund my money, another few days til its refunded on my card... And not even an offer of a gesture of goodwill....disgusting customer service|Useful|Share",13-Nov-21
Jeffrey Farquhar,"So I visited Pizza Hut online and collection was meant to be 19.00pm, on arrival I waited 45 minutes with no pizza deal for my family !!! I went inside and asked to see the Manager, luckily for me the area manager Chris was there to assist, no one knew where the order went, monies taken from account was taken £35, confused confused as we have been ordering pizza for years from the York branch, luckily for me the area manager Chris arranged that my next family meal would be free ???? I was advised to call the York branch instead of going online and ordering.|Useful|Share",Updated 12 Nov 2021
jeff bozos,"I went to pizza hut and i found a dead rat in the crust but the waiter was hot af, so 5 stars|Useful|Share",10-Nov-21
Lianne C,"Waited 70 minutes for order from Leyton delivery store and when it arrived 2 of the pizzas were missing large areas of cheese and the garlic bread was burnt. The manager said they would replace them but 2.5 hours later only part of the order arrived and one of the pizza's still had parts missing cheese. When I called back the manager refused to send the rest of the order and put the phone down. They then did this 6 times. I never received the rest of my order, yet paid full price and had to place a complaint to customer service. After the behaviour of the manager I would genuinely concerned about eating there as I would be scared that they would do something to it. Disgraceful service and management don't take responsibility for when things go wrong. This is the second time I have had to make a complaint about the quality of their food. They have not made any improvements. I can only advise not to order from there.|Useful|Share",9-Nov-21
Paul Stennett,"Kind if like pizza hut. Dont order take away much anymore. I haven't ordered from there for a very long time, but when I did the food was tasty, with speedy delivery, and the delivery was polite and courteous. Only gave it four stars though because you can get cheaper pizza that is just as nice. 👍|Useful|Share",8-Nov-21
Alice O’Malley,"My partner and I haven’t had Pizza Hut in years having always just choose Dominos through habit. We ordered one randomly and it was so, so much better! It just tasted fresher and more like an authentic pizza if that makes sense. Website not as good as dominos but we have been converted!|Useful|Share",8-Nov-21
J Millwood,"Fantasy service, we had som specific requirements and everything was catered for. Thanks|Useful|Share",6-Nov-21
TASNEEM R,"Ordered pizza at Sutton Coldfield branch , my order was large vegi sizzler the only problem was it barely had any toppings was close to a margarita.  When we called them the manager was very dismal and rude.This is the last time we are ordering from this branch.|Useful|Share",6-Nov-21
Krisztina Major,Had an amazing time with my family at the Colliers wood branch. The manager was great and was really helpful and attentive dietary requirements. He informed me about everything and made sure my order was correct. The servers were all amazing and polite as well.|Useful|Share,2-Nov-21
Liam Sullivan,"Placed order at mill hill branch  at 6pm and told 6:50-7pm delivery, still no pizza at 7:10 and rang as said still preparing . After 4 minutes on hold told sorry it will be 15-20 minutes more so asked to cancel and refused and then hung up on ,then order arrives around 7:42 and order stone cold and spent next 10 minutes trying to get through to them and said sorry we can remake order or give you £10 off next order , when I have spent £24 on a stone cold pizza and chicken bits , tried for another 90 minutes to contact them to be hung up on 5 times ! So can honestly say I will not be ordering from them again|Useful|Share",1-Nov-21
Charlotte burton,We went to pizza hut at the Trafford Centre and they gave us the wrong pizza and it was £50 for 3 pizza.    A waste of money.|Useful|Share,Updated 1 Nov 2021
Rebecca Lake,"Arrived at Amesbury restaurant at 19:00. Placed order within 10 minutes (sharing deal)  Was told food was going to be 30 mins which we accepted and were willing to wait for. 1 hour later…no food. Asked where our food was….not even in the oven. The order had been “bumped off” the kitchen screen. Offered a refund by manager and accepted it. Got food 20 mins later. At 20:30, got told that desserts were going to be 10 mins which we accepted. 25 mins later manager comes back to say refund has been processed. Still waiting on desserts. Desserts weren’t even made. Didn’t arrive until 10 mins  later. No apology whatsoever for the 35 minute wait for 2 puddings. During this period, kitchen staff were talking to waiting staff and ignored our orders. Apologies were given and accepted but appalling service I’m afraid. Was told there were new staff in kitchen but management need to manage this. I asked for paper receipts as email receipts were not received at time of leaving. Because the order was done online (only way we could order our food), they couldn’t provide a paper receipt.Only rated a 2 because I got a refund and my food eventually. It would have been a 1.|Useful|Share",28-Oct-21
Lewis C,Dont know why - but just had the greatest pizza ever.|Useful|Share,23-Oct-21
Eric Portgas,"so far, its good|Useful|Share",23-Oct-21
Charas Bower,"Wow expected better from such a big name brand but made an online order after a long 8 hour drive home to receive 1 pizza missing from a family order so called them to be told they were going to send a fresh 1 out, ok no problem we thought but bearing in mind the shop we ordered from which was aylsham road in Norwich an is only about 10 minutes drive away from us took over an hour! so at this point we phoned again to get a poor attitude from a staff member saying if we wanted to cancel the order we should of phoned sooner and saying we should of told him before it was sent out and wouldn't refund us as we would have to go through head office!So fair to say we won't be ordering again|Useful|Share",22-Oct-21
Jesa X,"Recently spent £30+ pound on 2 pizzas, in which they came with the security seal broke on both, they were not hot and also one of the pizzas were completely wrong, they came back about half a hour later with a hot, fresh pizza being the one we ordered, was disappointed with the other 2 and wasn’t sure why we couldn’t of gotten the right pizzas in the first place.|Useful|Share",20-Oct-21
Kat Dhil,Found a blue plaster stuck to the dough of the pizza. It was melted and looked like it was used. I thought the pizza was fun until I took a piece and saw a blue plaster. You can search it up and only blue plasters are used in cooking. I don’t have any blue posters at home so it couldn’t have me. I am shocked about this and may not be ordering here again|Useful|Share,19-Oct-21
Imran Zaman,Useful|Share,19-Oct-21
Elektra Evans,The new app table ordering is rubbish! Walked out of pizza hut. No more milkshakes or floats the menu has downgraded not for the better. Pizza hut has turned into an absolute shambles. Never going back again.|Useful|Share,17-Oct-21
Laura S Lefort,"We usually have good service at the McComb Ms Pizza Hut,but a recent visit was disappointing....While the pizza and cheese sticks were great,the young waitress decided it was a good idea to start sweeping the carpet while we were trying to eat our lunch,needless to say we had to cover our food,NEVER should an employee sweep the floor while customers are eating !!!!!! Also she had an attitude when we ask for parmesan cheese and a cup of ice,Not going to be going there anymore,they lost us as customers....|Useful|Share",17-Oct-21
Nabila Kauser,"Pizza Hut star city Birmingham Visited Pizza hut with family and young children, have to say it was the worst experience I've had at Pizza hut. Ordered on an app which we had to figure out how to use ourselves as staff couldn't be bothered to assist us with...There were items missing from the order. The staff were extremely rude and unfriendly. Never met such rude and unhelpful customer service staff in any business. The children were looking forward to ice cream and when they got it, it was mor like milk mixed with water 🙄 such waste of time and money.  Couldn't wait to get out of there 😡|Useful|Share",17-Oct-21
Shaun Otto,30 minutes late on my order of R500.  Shocking service!|Useful|Share,16-Oct-21
Jennifer Donnie Hart,Great customer service. Excellent food. Indoor dining available. Carrissa is an awesome hostess. I would recommend this place if your looking for a good pizza place to dine in.|Useful|Share,10-Oct-21
emma Louise,Rang up to check on a order absolutely disgraceful customer service over the phone in alerton road and the woman put the phone down on me. Awfull|Useful|Share,10-Oct-21
Birmingham Angler,"Food was cold, items missing and had to throw most away was disgusting,Called hut and was fobbed off by what sounded like an arrogant child|Useful|Share",6-Oct-21
Ian Wrathall,"Went to Pizza Hut in York, first time I had been to Pizza Hut in along time and while the food was good as were the two staff that were working (the manager was a little edgy), I thought the experience was terrible. The restaurant was freezing and having to order on an app, then being told I had to have everything at once, so could not have a starter before the main course. In all honesty I might as well have ordered a takeaway, eating in the restaurant was a cold clinical experience so sadly I will not be returning anytime soon.|Useful|Share",5-Oct-21
Amanda Finley,"Pizza Hut in Glennville Georgia is the BEST! The food is so so good and the staff is above AMAZING! I LOVE GLENNVILLE PIZZA HUT! 1,000,000 STARS!!|Useful|Share",5-Oct-21
Jamie Kelso,This was the worst experience I have ever had in my life at -1241 N loop 336 W Conroe t3xas 77301 with the manager Celesta  first off they hung up on me when ordering when I had to call back they acted like they didn't know he to tk a order I ordered a large pan pizza with extra sauce pepperoni sausage bacon pieces mushrooms black olives green peppers when I got to the store they gave me the wrong Pizza it had too much sauce on it cheese and only mushrooms so I had to there for a wait for them to make my pizza when she brought the pizza out to my truck in the dark to check the pizza she asked was it okay I just said okay to get out of there and get home and eat my pizza when I got home there was no extra pizza sauce there was no pepperoni on it and there was no bacon pieces on it I called the store back ask to speak to the manager Celesta when she got on the phone she told me well there's nothing I could do you said it was fine and I said you had to make a second pizza I had to come up here and wait for you to do that again n make it then it wasn't right again it was missing the extra pizza sauce it was missing the pepperoni it was missing bacon pieces and I asked what she was going to do about it she told me nothing so I asked her to give me the main number to the Pizza Hut office so I can make a complaint she refused to give me the number so I had to call another Pizza Hut place to get the number I will never ever go to this pizza place again|Useful|Share,2-Oct-21
Shin,"Their pizzas are lush and I loved it since I was a kid. I remember goin to pizza hut way back and build the salad towers, it was good memories.|Useful|Share",1-Oct-21
Tatiane Hawes,"Pizza Hut at the Forge is absolutely a joke, staff is rude and unwilling to help or to take the orders. All orders are done through the phone, which doesn’t help some customers who are not very good with technology stuff or those who want a quick order, eat and go!Don’t recommend this place!!!|Useful|Share",30-Sep-21
Robert,Pizza hut in Rock Springs wyoming  sucks.|Useful|Share,28-Sep-21
Stu,"Ordered food from Pizza Hut, Ardleigh Green. Delivered 2 pizzas instead of 3. Tried to explain to driver but he was already walking off and saying bye as food left at property. Called Pizza Hit who wouldn’t help. If you find my Pizza Tony can you bring it back, thanks|Useful|Share",28-Sep-21
Ruby,"Pizza Hut, Manchester Trafford centre When we entered at 5:00pm it was not busy and we were shown our table in 2 mins, we ordered our food online, was told by staff there were no jalepenos in store and there was no way to make the pizza spicy, so no other option. Whilst we were eating there were food flies around the table.. our dessert had not arrived so we had to go to speak to staff to be told it was out of stock, and if we’d like an alternative.. we requested a refund to be told will get it in 3-5 days, so I had to request confirmation for that and had to take a picture from the screen?! When we entered the store we were not told so many things were unavailable or out of stock, there was no sweet corn no jalepenos or pasta for the salad bowl. We were honestly very disappointed and especially when there food flies whilst your eating in such a professional establishment. Will not be going again.|Useful|Share",26-Sep-21
Kelly Copley,After going to see a show in London thought we would then go into have pizza meal .As we did not finish all the pizza we ask the wattres for a box to take it away when I open the box there was a bug /inset in the box .I shouted the wattres if she could change the box .I have then emailed a complaint about this and was told that the inset /bug didn't come in from pizza hut so how did it get into the box which was closed .Will not be eating in there again and be telling my friends and family not to as well .very disappointed|Useful|Share,25-Sep-21
Keith Kahanic,"Don't fall for the TV advertising for ""Detroit Pizza"" with cheese to the edges. If there is any cheese, it's DRIED cheese out to the edges. If there are any of the toppings you ordered, they are buried under a thick layer of tomato sauce laid on top of thick bread. IF there are any toppings. I could barely detect any. It's awful.|Useful|Share",25-Sep-21
Brian Ashworth,The website is not fit for purpose . Trying to find the prices of items  is not an easy process. Whether this  is done on purpose is debatable- however this non transparency of items will loose them sales !!|Useful|Share,22-Sep-21
Jackie,"Thought I would give pizzahut another try, yet again so tight!!!!! On their topping, you pay £1.50 per topping I order 2 toppings of jalapeños and next to none on there!!! Every single time, will not be using them again, too expensive for what you get!!! £3 for about 5 jalapeño slices!!!|Useful|Share",21-Sep-21
Thomas Anthony Byrne,"Pizza Hut Southgate Halifax disgusting! Was supposed to be delivered latest 45 mins, tracked it and said delivered? No! Husband went to get it as the disgrace continued 14 unanswered calls to the shop then it turned up after an hour and an angry husband to be told when I complained the driver was late and had said delivered he said he didn’t care and I could tell the shop! Do thanks for a waste of £24.99|Useful|Share",20-Sep-21
Anto McEvoy AMJM,"friday evening, been out all day in the rain. arrive home and just want to lay back and watch the new ‘My Little Pony’ movie with some pepperoni pizza however pizza was triangle shaped and had hairs in it. i hate triangles. also, they usually divide it in 8 pieces, however one was missing… measured it and it was 3 inches too thin! someone must’ve had a little munch before delivery - not surprised seeing as they hire any old fool off the streets. pizza was greasy and had too much tomato paste on it. infact, the pepperoni wasn’t even spread out evenly. never getting pizza hut again, gonna stick to nando’s. they know how to make good food to eat on a friday night with some MLP. 2/10 for pizza hut, but only seeing as they were only 6 minutes late and the delivery driver had a fresh trim. goodbye pizza hut, you will not be missed!|Useful|Share",Updated 19 Sept 2021
Milton Louis,"I placed an online order, and the estimated pickup time was 15 minutes. So I waited an hour and called the store and asked how much longer will it be before my food gets to me. And the manager say it going to be about 15 more minutes cause they only have one delivery guy. So I waited another hour before I called back. Just to hear him say the delivery guy just left 5 min ago to deliver someone else order. And when he get back I will make sure he gets your order and bring it to you. Another hour done passed and still no show. I waited 3 hours and still don’t have my food I will never placed an order here again.|Useful|Share",16-Sep-21
M Brook,"Ordered two pizzas at the start of the evening, a single pizza arrived stone cold at 11pm. I tried calling the store we ordered from multiple times but never got a response. I also wasn’t able to track my order at all. Absolutely appalling service, will never be ordering from here again.|Useful|Share",15-Sep-21
Harrower,Ordered food 2 hours ago. Still no sign of it. Tried phoning the take away and got put on hold. Their website gave me a time of 1 hour and 15 minute ago. Joke.|Useful|Share,13-Sep-21
Monique,"I ordered my food thru contactless pickup, to still have to go inside the store to get my food.|Useful|Share",10-Sep-21
Mike Flynn,"They cannot read simple instructions at all. It took 38 minutes to make this pizza and was told that they would not remake it because they were too busy and it was already pre-paid on the app including tip. This happens all the time. I don’t know why I keep on going to them, guess maybe no more.|Useful1|Share",10-Sep-21
Christina Benny,"Pizza gone bad.... The red roof of yesteryear has caved in folks! The Waterville maine location is run by a intoxicated GM crew of felonious ""workers"" aren't sober serving moldy ice filed drinks, food not properly stored cooked or handled in a structure that isn't even close to code or up to anyone's standards corporate had been informed and does nothing.  My daughters got sick.  Other people i know have had issues too. I'm no ""karen"" folks I don't want anyone fired or free food. The public should be protected the end|Useful|Share",8-Sep-21
Heidi Fisher,Another tasty takeout from the Peterborough London road site. I love Pizza Hut and the deals are great. Service with a smile and hot tasty food with plenty of toppings. Had many takeouts from here and no problems at all.|Useful|Share,4-Sep-21
Fred Koersten,This was a terrible pizza I love pizza and this just turned me off Pizza Hut Burlington ontario new street and appleby very dissatisfied will not order there again yuk|Useful|Share,4-Sep-21
AM,"Two pizzas ordered, very, very oily with an unpleasant “burnt oil” aftertaste. Not sure what that is about ?!Would not recommend.One plus, delivery was prompt.|Useful|Share",4-Sep-21
Ray Springer,"The Pizza Hut on West Road is the ABSOLUTE WORST!  The delivery time was almost 2 and half hours.  You call to see what is taking so long, but they take forever to answer the phone.  When it finally gets answered the gentleman says they only have 1 driver.  Pizza Hut issue not mine.  If you are in Cypress and you have a taste for a pizza on any night, do yourself a favor and steer clear of Pizza Hut on West Rd.  The worst customer service EVER!!!|Useful|Share",3-Sep-21
Customer,"My wife went into a Pizza Hut and ordered 2 Pizza's and was charged £37.98.Margherita £15.49Veggie       £22.49I couldn't find a Veggie Pizza that cost £22.49. I checked the app and the total cost of both pizzas should have been £17.49, if ordered on the app. I contacted customer service whose response was tough luck should have ordered on the app.My response is I'm never going to use Pizza Hut again. If you are going to get a pizza from them for the love of God do not order at the counter.|Useful1|Share",3-Sep-21
Cat,I had a good experience at the Hut tonight located on Sutphin Blvd I was greeted very nice as I entered. With no idea of what I wanted to order a work at the front helped me she was very nice. As I waited and others  walked in and out I was shocked on how good the service was and how welcoming the staff was to every one coming in. As my order was ready everything was perfect down to all the sauces I got thank you Pizza Hut.|Useful|Share,Updated 3 Sept 2021
Mrs Sandra Cruz,"Has really gone downhill, barely any choice on the salad bar. Lettuce was wilted and brown and the toppings on the pizza were scarce. Menu is very limited. Won’t be going back there, just isn’t worth the money, used to be one of my favourite restaurants too.|Useful|Share",1-Sep-21
Karen Dogherty,Pizza hut harlow food was nice but why do they insist on ordering with apps all the time not everyone wants to order on an app. It takes the whole service out and a whole different experience.|Useful|Share,31-Aug-21
Ty Dm,Delicious thin pizza crust. Amazing|Useful|Share,30-Aug-21
Ben W,Can't go wrong with Pizza hut!!Always delicious food and top quality too!|Useful1|Share,30-Aug-21
Ralph Greig,The new ordering system is hopeless. Get the staff to do and not the online rubbish app. Food was good but no interaction with the staff. Won’t be back as better just getting a cheaper takeout.|Useful|Share,29-Aug-21
Lacey,Only just walked in the restaurant and received the best customer service from manager. Lovely staff. Well done xx(Bedford aspecs)|Useful|Share,29-Aug-21
Lovely,"Ordered two large pizzas for my kids this afternoon, I was told delivery time is 55mins I waited for 1.5hr no delivery. I paid for the order up until now didn’t receive it, called their office and no one is answering. Am driving to that location tomorrow for my refund.|Useful|Share",29-Aug-21
reginald rgnldjnsrkaol.com,"Hwy 153 Pizza Hut needs some training on how to make pizzas. Hardly any cheese, barely any meats on their pizzas on several different occasions. Ordered a Detroit style double pepperoni couldn’t hardly find the pepperoni. Plus their prices are very questionable considering what you get.|Useful|Share",25-Aug-21
Gary Hemlock,"Where do I start...1. The restaurant was empty when we entered, we sat down to find a label on the table stating that orders had to be done on your mobile, this was not explained at the door (very poor), I never done any transactions over my phone before so got up to leave, at which point the waiter stated that he could take the order (why was this only explained after we got up to leave).    2. My daughter does not understand the buffet concept, and demanded a pizza from the menu, so landed up paying double the price for a pizza at nearly £18, double what I would have paid for the buffet, for less food (no pasta, no eat as much as u like, no salad).3. Having to pay before we receive the meal, this is the first time that I have been into a restaurant and paid for my meal before the meal. All restaurants I have been in charge after you have received the meal, and this is the first time I have been in pizza hut and had this done to me, when I challenged the waiter on this he said that it was company policy.  It is obvious that you have very little respect or trust for your customers just contempt. 4. Bearing in mind that the restaurant was empty, 40 minutes later the daughters pizza still had not arrived called the waiter over to ask what was the delay, considering the place was empty when we arrived, to which he responded that there had been a error in the kitchen, and they had placed my daughters pizza on the buffet counter, several issues with this statement...   a.  Why did they not inform us of the delay, why          wait for me to ask.   b.  If I had not asked I probably would not have         received the pizza and         left without receiving the product that I had         paid for    c. I also think his explanation difficult to believe as        the daughters pizza was large sharing pizza,        which comes on different plate to that which        they place on the buffet, and quite possibly her        pizza was a different size also.5. When my daughters pizza arrive she ordered a plain cheese and tomato pizza, she found several kernals of sweetcorn on her pizza, which I had to remove.6. my daughter likes to select and pour the pepsi herself when she came back to the table you could nearly see through the drink, obvious to me that there was something wrong with either the syrup u used or the dispensing unit, i went up tried the same flavour same thing happened, tried different flavour this was OK, why was there not a sign there explaining the issue.7. Buffet includes a selection of salad and pasta, where the salad offering was acceptable, I was in the restaurant for nearly 90 minutes and NO pasta was offered on the buffet counter, this is unacceptable and false advertising.  If there was NO pasta available this should have been explained at the door or on the sheet of paper handed to every customer on the door.8. Please don't blame staff shortages for these issues for the first 20 to 25 minutes there were more staff than customers.9. Me and my daughter have frequented Pizza hut for sit down and takeaway meals several times a year, but for the past 18 months we both have been shielding (government advise) as both of us have medical conditions that makes vulnerable to covid, and this was the first dinning out experience since February 2020, and if this experience is anything to go by, we will NOT be going for Pizza Hut again.|Useful|Share",23-Aug-21
P Kundu,"We went for takeaway at pizza hut Park royal Acton, London,end of 2018.We brought the food home.After couple of hours of eating my wife started vomiting,had severe diarrhea and food poisoning.Her temperature went up to 104degrees Celsius.She was extremely unwell.She is lucky to be alive.I was sick too.Never again.|Useful1|Share",22-Aug-21
Dan,"Ordered a pizza with the partner tonight. 2 hours after the pizza was delivered the delivery driver decided to start sending my parter private messages, 2 voice notes and 1 call via what’s app! Called the Aldershot branch to report this and they didn’t care, had to contact the police and ICO due to the fact this driver is breaking GDPR rules. How is this normal or safe? We have a baby who is under 8 weeks and now my partner is worried that this driver may come back. Pizza Hut should be ashamed of this! Legal action will be taken against the company.|Useful|Share",22-Aug-21
Joe,Useful|Share,21-Aug-21
Joshua Simanteris,Their Detroit pizza is a disgrace too real Detroit style pizza.|Useful|Share,21-Aug-21
Joseph Lang,Ordard one large meat lovers pizza and one small cheese pizza for the kids. When I picked up the pizza it was ready and on time.  I have not had Pizza Hut in years so I was disappointed in the quality of the pizza it was falling apart and thinner in the center than what I am a custom to. Please please fix this I don't want to lose the best pizza that I grew up on. When I told my work friends I said that the quality of the pizza is not what I use to they and they new before I told the were I brought the pizza PIZZA HUT. My work friend that live in a different town and this a new Pizza Hut said that they are terrible. What's going on?|Useful|Share,20-Aug-21
lisa dickerson,The staff at the Diamond Causeway store in Savannah Georgia are excellent!!! Very friendly and courteous. I will continue to order my pizza from there.  Thanks guys you’re Awesome!!!|Useful|Share,19-Aug-21
Elina Milanova,"I visited the Uxbridge, London branch. The staff is incredibly friendly, welcoming and of great service!!! They’re brilliant! The food tastes amazing, too!Great work everyone!|Useful|Share",19-Aug-21
Patrick,"Pizza SlicesSo you get pizza slices to earn freebies, well since 24/06/2021 I am still waiting to redeem my free medium pizza lol. This is the most tragic review I have ever written but the funniest. Think Dick Turpin actually delivered more.|Useful|Share",19-Aug-21
Paula Waugh,I love Pizza Hut in Grayson Ky. And Paula that runs the window handing out the food is awesome and she does it with a smile and is nice and makes you feel like family!!! Andy runs the store and he is really great with handling whatever crazy comes up !!!!|Useful|Share,18-Aug-21
Shaun Causey,Love pizza hut  food is great delivery always on time staff very freindly good  offers excellent  all round|Useful|Share,Updated 17 Aug 2021
